timestamp,actual_bottles,theoretical_weight,measured_weight,calculated_bottles,weight_error,bottle_error,raw_reading,calibration_factor,status,mqtt_success
2025-09-29 08:00:00,0,0,0.0,0,0.0,0,279,2295.9451092344693,idle,True
2025-09-29 08:00:30,0,0,0.0,0,0.0,0,542,2256.5262807032523,idle,True
2025-09-29 08:01:00,0,0,0.0,0,0.0,0,-2612,2233.795858112645,idle,True
2025-09-29 08:01:30,0,0,0.0,0,0.0,0,314,2229.358443983279,idle,True
2025-09-29 08:02:00,0,0,0.0,0,0.0,0,-629,2173.018967196188,idle,True
2025-09-29 08:02:30,0,0,0.0,0,0.0,0,110,2252.7808637737407,idle,True
2025-09-29 08:03:00,0,0,0.0,0,0.0,0,291,2327.371991052332,idle,True
2025-09-29 08:03:30,0,0,0.0,0,0.0,0,-1057,2279.3251387631035,idle,True
2025-09-29 08:04:00,0,0,0.0,0,0.0,0,-1265,2299.4674456628063,idle,True
2025-09-29 08:04:30,0,0,0.0,0,0.0,0,196,2213.5906975550783,idle,True
2025-09-29 08:05:00,0,0,0.0,0,0.0,0,-1009,2324.0880519474304,idle,True
2025-09-29 08:05:30,0,0,0.0,0,0.0,0,1057,2256.9680614520107,idle,True
2025-09-29 08:06:00,0,0,0.0,0,0.0,0,582,2286.7214441314013,idle,True
2025-09-29 08:06:30,0,0,0.0,0,0.0,0,-309,2238.039123838868,idle,True
2025-09-29 08:07:00,0,0,0.0,0,0.0,0,-177,2334.982348789241,idle,True
2025-09-29 08:07:30,0,0,0.0,0,0.0,0,1356,2320.62629111971,idle,True
2025-09-29 08:08:00,0,0,0.0,0,0.0,0,972,2276.2098127485906,idle,True
2025-09-29 08:08:30,0,0,0.0,0,0.0,0,1564,2278.2086980445024,idle,True
2025-09-29 08:09:00,0,0,0.0,0,0.0,0,-1418,2276.9567956262626,idle,True
2025-09-29 08:09:30,0,0,0.0,0,0.0,0,357,2269.0164056081244,idle,True
2025-09-29 08:10:00,0,0,0.0,0,0.0,0,-212,2317.1855641885613,idle,True
2025-09-29 08:10:30,0,0,0.0,0,0.0,0,328,2325.7701058851035,idle,True
2025-09-29 08:11:00,0,0,0.0,0,0.0,0,-309,2288.777664697742,idle,True
2025-09-29 08:11:30,0,0,0.0,0,0.0,0,-1463,2260.394592343392,idle,True
2025-09-29 08:12:00,0,0,0.0,0,0.0,0,-395,2297.275897194438,idle,True
2025-09-29 08:12:30,0,0,0.0,0,0.0,0,404,2271.9357144166997,idle,True
2025-09-29 08:13:00,0,0,0.0,0,0.0,0,-18,2350.1979369329647,idle,True
2025-09-29 08:13:30,0,0,0.0,0,0.0,0,2463,2283.0115104970514,idle,True
2025-09-29 08:14:00,0,0,0.0,0,0.0,0,-574,2267.0485677630554,idle,True
